url,titulo,autor,fecha,descripcion,noticia
https://www.elsoldemexico.com.mx/doble-via/ciencia/ultimas-noticias-hallan-peru-restos-oseos-perro-hace-mas-de-mil-anos-4274701.html,Hallan en Perú restos óseos de un perrito de hace más de mil años,EFE,  / sábado 5 de octubre de 2019,Una arqueóloga explicó que el animal fue hallado hace una semana en la provincia de Casma y se encuentra en buen estado de conservación,"Un grupo de arqueólogos peruanos halló los restos óseos de un perro con más de mil años de antigüedad en el santuario arqueológico de la cultura inca Casma en el norte de Perú, informó una investigadora.,""Hemos hallado los restos óseos de un perro con más de mil años de antigüedad en el templo ceremonial de Sechín, en la región Ancash"", dijo a la AFP la arqueóloga Mónica Suárez. , ,
,Suárez explicó que ,fue hallado hace una semana en la provincia de Casma y ,""Aún se puede observar su pelaje de color amarillo y marrón y las almohadillas en sus patitas"", indicó la estudiosa.,Suárez considera que el canis lupus familiaris (denominación científica de un perro) pertenece a los habitantes de la cultura Casma que reocuparon las ruinas de Sechín mil años después de Cristo.,"", y aportar más información respecto a las razas de los canes peruanos"", comentó., ,
,La arqueóloga informó que ,en el sitio arqueológico que fue sepultado por un aluvión.,En 2008, una plaza circular hundida con 5 mil 500 años de antigüedad fue descubierta en el complejo arqueológico Sechín Bajo, ubicado en el valle de Casma, al noreste de Lima.,La cultura preinca Casma, con una antigüedad de 900 a 1000 años después de Cristo, se desarrolló en la Costa norte de Perú."
https://www.elsoldemexico.com.mx/doble-via/ciencia/de-vuelta-a-titan-una-exploracion-fantastica-4086834.html,"De vuelta a Titán, una exploración fantástica",Germán Martínez Gordillo / Sociedad Astronómica de Puebla Germán Martínez Hidalgo A. C.,  / domingo 25 de agosto de 2019,"Durante las noches de agosto y septiembre, observe al sureste al hermoso planeta Saturno","Una exploración fantástica se prepara para uno de los mundos más fascinantes y exóticos en nuestro Sistema Solar, Titán, en los alrededores del planeta de los anillos, Saturno.,
,Durante las noches de agosto y septiembre, observe al sureste al hermoso planeta Saturno. Más arriba, el lucero más brillante será el planeta Júpiter.,
,Saturno se encuentra, en promedio, a 1 275 000 000 km. de la Tierra, lo que equivale a 8.5 veces la distancia entre la Tierra y el Sol o 1 Unidad Astronómica (UA), de 150 millones de km. La distancia a Saturno es el doble de la que hay entre Júpiter y la Tierra, de 628 730 000 km. o 4.2 UA.,Se conocen 62 lunas a Saturno, la mayor de ellas, Titán, un mundo fascinante, que inflama nuestra imaginación y abre el deseo de explorarla.,La noche del 25 de marzo de 1655, el astrónomo neerlandés Christian Huygens, observando con telescopio, descubrió la primera luna de Saturno y la mayor de ellas.,Titán es la segunda luna de mayor tamaño en nuestro Sistema Solar, después de Ganímedes de Júpiter. Es incluso más grande que Mercurio y 50 % más grande que nuestra Luna terrestre.,
,Titán es un mundo familiar. Está compuesto de hielo y roca, la superficie es joven, con pocos impactos de meteoritos, hay montañas y tal vez criovolcanes, es decir, volcanes de hielo. En el hemisferio norte hay océanos de metano y etano. Los vientos generan oleajes diminutos, de hasta un centímetro de alto. Se han observado islas que aparecen y desaparecen, se cree que son cubiertas por el océano o son burbujas que suben a la superficie. Titán posee una atmósfera 50 % más densa que la terrestre, rica en nitrógeno y metano. En Titán hay nubes y lluvias de metano. Tormentas de polvo de componentes orgánicos recorren todo Titán. No existe un campo magnético, por lo que su núcleo debe ser de hielo y roca, en lugar de metal. Sin este campo magnético que proteja de las radiaciones del Sol y en este caso de Saturno, la vida podría no surgir. La Tierra si lo tiene y Marte no. Parece que Titán rota más rápido que su atmósfera, algo visto en Venus, pero sin explicación.,
,En la Tierra, la mayoría del metano es producido por actividad biológica, por lo que el metano es un biomarcador, que puede delatar la existencia de organismos vivos. Sin embargo, observar metano no es suficiente ni condicionante de encontrar vida, pues también existen procesos no biológicos que lo generan. Encontrar metano más allá de la Tierra, solo debe sugerirnos, investigar más.,Se calcula que los hidrocarburos de Titán, superan en cientos veces las reservas de petroleo y gas de la Tierra. Después de nuestro planeta, Titán es el único mundo conocido con océanos en la superficie. Parece tener la mayor probabilidad de sustentar la vida fuera de la Tierra, incluso, más que Marte.,En diciembre de 2005, la sonda espacial de la NASA, Cassini, arribó al gigantesco y lejano Saturno, de ella se desprendió otra sonda espacial, de nombre Huygens, de la Agencia Espacial Europea, ESA.,
,Para continuar las investigaciones de Cassini y Huygens e intentar aclarar muchas dudas, la NASA aprobó en junio, la misión Dragonfly.,Dragonfly, de 3 metros de largo, tendrá un peso de 450 kg, cada hélice, de las ocho, son de 1 metro de diámetro. Viajará a 36 km/h, y podrá subir hasta los 4 km. de altura.,La comunicación entre Saturno/Titán y la Tierra tarda de 1.1 a 1.6 horas, lo que significa que tras ese tiempo, conoceremos si Dragonflay vuela libre en Titán.,A pesar de ser un dron, Dragonfly es más un laboratorio estático, ya que la mayor parte del tiempo se encontrará estacionado, estudiando la atmósfera o taladrando el suelo.,
,Dragonfly llegará al hemisferio sur de Titán en verano, en donde habrá luz. Aun así, la temperatura será de -179ºC, por lo que Dragonfly lleva un generador de radioisótopos que le dará calor, para no congelarse.,Dentro de 15 años, Dragonfly nos llevará a sobrevolar las dunas de Titán. El enigmático y exótico mundo, está a la espera de la próxima aventura de ,la NASA. "
https://www.elsoldemexico.com.mx/doble-via/ciencia/si-existen-marina-de-estados-unidos-confirma-que-videos-de-ovnis-son-reales-extraterrestres-espacio-4199007.html,¡Sí existen! Marina de EU confirma que videos de ovnis son reales,El Sol de México,  / miércoles 18 de septiembre de 2019,Son tres videos los que la Marina reconoce como verdaderos,"La Marina de Estados Unidos admitió que los tres vídeos de ovnis publicados por el diario , y por la organización , son reales!,Fue en mayo de este año, cuando la publicación reveló una entrevista realizada a uno de los pilotos que presenció el momento en el que los ovnis fueron captados por los radares. , ,
,El piloto Ryan Graves, encargado de informar sobre los avistamientos al Pentágono y al Congreso de Estados Unidos, aseguró que los cuerpos extraños se movían a una velocidad ""hipersónica"" y que incluso realizaban maniobras imposibles en el aire.,También señaló que dichos cuerpos no poseían propulsores ni tubos de escape visibles. ""Esas cosas estaban ahí arriba todo el día”, dijo el piloto. ,Estos son los videos donde se pueden apreciar los objetos no identificados. Además, se logra escuchar cuando uno de los pilotos al fin logra captar el objeto y con asombro le pregunta a su compañero: ¿¡Qué es eso!?, ,
,Ahora, el portavoz de las Fuerzas Navales estadounidenses, Joseph Gradisher, declaró ,, un sitio dedicado a desclasificar documentos gubernamentales, que dichos objetos son reales pero no pudieron ser identificados. ,""La Armada considera que los fenómenos contenidos en esos tres vídeos no están identificados. La terminología de Fenómenos aéreos no identificados, se utiliza porque proporciona la descripción básica para los avistamientos, observaciones de aeronaves u objetos no autorizados, no identificados que se han observado entrando u operando en el espacio aéreo de varios campos de entrenamiento controlados por militares”.,Así es, aunque no lo creas Tom DeLonge, exvocalista de 182, dejó la agrupación para dedicarse a la investigación de ovnis y vida extraterrestre, dando como resultado la creación de ,, que al igual que NYT, publicó los videos de los avistamientos. , ,
,Sin embargo, cabe destacar que las grabaciones nunca fueron autorizadas para hacerse públicas por lo que fueron dadas a conocer por ambos medios sin autorización oficial. ,Y aunque esto es una prueba de que hay algo más allá fuera, las autoridades estadounidenses no aseguran que estos objetos extraños sean de origen extraterrestre. , ,
"
https://www.elsoldemexico.com.mx/doble-via/ciencia/agujero-negro-saggittarius-a-centro-de-la-galaxia-cientificos-universo-nasa-extraterrestres-4061775.html,Agujero negro en el centro de la galaxia sorprende a científicos,El Sol de Tlaxcala,  / lunes 19 de agosto de 2019,El agujero tuvo una extraña anomalía que los científicos no pueden explicar,"Un equipo de científicos estadounidenses observaron recientemente cómo un “tranquilo” agujero negro en el centro de nuestra galaxia aumentó su brillo 75 veces más de lo habitual. El llamado Sagitario A, de 4 millones masas solares, se ubica a unos 26 mil años luz de la Tierra.,Al respecto, Tuan Do de la Universidad de California en Los Ángeles, precisó a través de un video captado en mayo por el observatorio W. M. Keck en Hawái, que “el agujero negro siempre es variable, pero esta vez era el más brillante que hemos visto hasta ahora en el infrarrojo. , ,
,""¡Probablemente brillaba aún más antes de que comenzáramos a observarlo esa noche!"", escribió en su cuenta de Twitter. ,
,
,El autor principal del estudio que se publicará en Astrophysical Journal Letters mostró una imagen.,
,
,A ello, agregó que los científicos no tienen una explicación precisa para este cambio en el brillo del agujero negro, pero creen que es probable que el fenómeno lo provoque un aumento de la cantidad de gas que está siendo devorado por el agujero. "
https://www.elsoldemexico.com.mx/doble-via/ciencia/extraterrestres-verian-planeta-tierra-nasa-aliens-espacio-universo-4072515.html,"Desde el espacio, así verían los extraterrestres al planeta Tierra",El Sol de Zacatecas,  / miércoles 21 de agosto de 2019,La NASA ha descubierto la forma en que seres fuera de nuestra órbita podrían ver al planeta,"Si los extraterrestres existieran, astrofísicos expertos de la Administración Nacional de la Aeronáutica y del Espacio (NASA por sus siglas en inglés), se dieron a la tarea de estudiar cómo los seres del espacio verían al planeta Tierra. ,De acuerdo con un estudio de la NASA, los extraterrestres podrían observar el planeta distinguiendo sus diferentes superficies por colores., ,
,La NASA tenía como objetivo encontrar una manera de localizar planetas habitables más allá de nuestro Sistema Solar, por lo que usó al satélite , para tomar diez mil imágenes de la Tierra desde su lugar, que se encuentra en un punto de equilibrio gravitacional entre el planeta y el Sol que le permite ver solo el lado diurno del planeta.,
,Estas imágenes, tomadas a diez longitudes de onda específicas cada una a dos horas durante 2016 y 2017, buscaban simular el punto de vista de los extraterrestres, por lo que los investigadores las redujeron para que representen lo que un astrónomo extraterrestre vería si observara la Tierra desde su sistema solar durante dos años.,De esta forma, cualquier ojo humano (o similar al mismo) puede captar y clasificar por tonos las superficies terrestres, los océanos, las capas glaciares e incluso las nubes., ,
,En primera instancia, la captura podría parecer ""simple"" para el observador común, pero con dicha imagen cualquier extraterrestre interesado en nuestro planeta puede darse una idea de su composición, forma, posibilidades sustentables, adaptabilidad y obstáculos para residir en él.,
,Así, al analizar las curvas de las imágenes reducidas y compararlas con las originales, los investigadores fueron capaces de identificar qué parámetros de estas curvas correspondían a los pedazos de tierra y a las nubes. ,Con esa información, seleccionaron los parámetros que podrían relacionarse a las áreas con tierra, ajustándolo a la rotación de 24 horas del planeta y construyeron el mapa que será publicado en , ,
,Pese a que no es preciso en un cien por ciento, este mapa podría servir para que los astrónomos asuman si un exoplaneta tiene océanos, nubes y capas de hielo, los elementos clave para un mundo habitable."
https://www.elsoldemexico.com.mx/doble-via/ciencia/astronomos-descartan-mudanza-a-otro-planeta-4199586.html,Astrónomos descartan mudanza a otro planeta,EFE,  / jueves 19 de septiembre de 2019,"En una reunión de seis días, los científicos compartirán sus avances sobre los exoplanetas descubiertos","GINEBRA. Más de mil 500 científicos de Europa y Estados Unidos se reúnen esta semana en Ginebra para compartir sus avances en la búsqueda de nuevos planetas.,Aunque fuera de la comunidad astronómica, muchos ven la investigación de planetas dentro y fuera de nuestro Sistema Solar como una búsqueda de posibles lugares donde asentar colonias humanas.,Analizarán el estudio de los planetas ya conocidos, además de discutir sobre la edad de los anillos de Saturno, una cuestión a debate entre los astrónomos.,La reunión de seis días, es la tercera que celebran conjuntamente las principales organizaciones de estudios planetarios a ambos lados del Atlántico, gira particularmente en torno al estudio de los exoplanetas, aquellos fuera del Sistema Solar.,Aunque su existencia se conoce hace apenas 25 años, ya se han descubierto más de cuatro mil.,“Antes pensábamos que el Sistema Solar era único, que éramos una singularidad, pero ahora sabemos que no”, dijo a Efe la científica Luisa Lara, del Instituto Astrofísico de Andalucía y una de las principales estudiosas de los planetas en España, quien asiste al encuentro ginebrino.,Muchos de los exoplanetas se han descubierto mediante la observación de las estrellas alrededor de las que orbitan y se ha podido establecer que son astros muy próximos a sus “soles”, lo que provoca que sus temperaturas sean muy elevadas y sea difícil conocer su atmósfera, si son masas rocosas como la Tierra o si albergan vida, un extremo que buena parte de la comunidad científica contempla aún con escepticismo.,Pero la reunión de expertos también dedica buena parte de sus más de 60 conferencias a los planetas del Sistema Solar, en los que aún queda mucho por conocer, empezando por su número.,
,Si bien se mantiene la cifra oficial de ocho planetas (después de que Plutón fuera degradado en 2006 a “planeta enano” por la Unión Astronómica Internacional), en el actual encuentro se debate la existencia de un posible planeta del tamaño de Neptuno en una órbita lejana, según las teorías de algunos astrónomos.,El hasta ahora conocido como “planeta X”, aún no observado y cuya existencia sólo se asienta en teorías matemáticas, estaría situado a 120 mil millones de kilómetros de la Tierra (800 veces la distancia entre el sol y la Tierra) y tardaría unos 20 mil años terrestres en trazar su órbita alrededor de la estrella solar.,La reunión también analiza actuales debates entre la comunidad astronómica mundial, como la edad de los anillos de Saturno, formados casi íntegramente de agua helada.,Recientes datos de la sonda Cassini hicieron pensar que se formaron en fechas recientes (hace unas decenas de millones de años, cuando los dinosaurios poblaban la Tierra), pero en la reunión de Ginebra varios científicos han cuestionado esos descubrimientos y creen que los anillos son mucho más viejos.,“Cualquier cosa más allá de Plutón no es colonizable por el ser humano, y a Marte de momento se puede ir, pero el problema es volver”, opinó Lara., ,
,Para la astrofísica andaluza, no sólo es necesario que en un planeta se encuentre oxígeno o agua para ser poder ser colonizable, también se debe probar la existencia de campos magnéticos que protejan de las partículas solares.,Mientras que los científicos se muestran más cautos y escépticos sobre esos temas tan retratados por la ciencia ficción de vivir en otros planetas."
https://www.elsoldemexico.com.mx/doble-via/ciencia/nos-salvamos-apofis-no-impactara-a-la-tierra-asteroide-99942-nasa-fake-news-destructor-apep-4072849.html,¡Nos salvamos! Apofis no impactará a la Tierra,El Sol de Zacatecas,  / miércoles 21 de agosto de 2019,"Apofis es un asteroide con una órbita cercana a la Tierra. Su nombre proviene del nombre del dios egipcio Apep, que significa “El destructor”.","Apofis es un asteroide con una órbita cercana a la Tierra. Su nombre proviene del nombre del dios egipcio Apep, que significa “El destructor”. ,En el año 2004,, en el año 2029. Nuevas investigaciones aseguran que el choque entre el asteroide y la Tierra es casi imposible.,, pero según algunas observaciones que se hicieron en el año 2013, se corrigió su tamaño en 325 metros de longitud., ,
,Según científicos de la NASA aseguran que no constituye un peligro para nuestro planeta. Apofis es uno de los asteroides más grandes que se han acercado a la Tierra, y ,; viaja a casi 40 mil kilómetros por hora, según la velocidad de desplazamiento, una pequeña desviación en su trayectoria podría ser catastrófico para la vida en la Tierra.,. La enorme roca sólo pudo ser observada durante dos noches, y no volvió a ser visto sino hasta el 18 de diciembre del mismo año, por Gordon Garradd, desde Australia.,Según investigadores l,Cuando llegue a su punto más cercano con la Tierra será visible a simple vista."
https://www.tvazteca.com/aztecanoticias/salud-educacion-y-bienestar/ciencia-y-salud/videos/adultos-mayores-se-enfrentan-a-la-tecnologia,Adultos mayores se enfrentan a la tecnología,,"07 abril, 2018",La tecnología en personas mayores representa un nuevo reto en sus vidas.,
https://www.tvazteca.com/aztecanoticias/tecnologia,,,,,
https://www.tvazteca.com/aztecanoticias/salud-educacion-y-bienestar/ciencia-y-salud/notas/inauguran-primer-laboratorio-de-tecnologia-4-0-en-mexico,Inauguran primer laboratorio de tecnología 4.0 en México,Notimex,"10 diciembre, 2018",Invierten más de 26 millones de pesos.,"  Monterrey, N.L.- Con una inversión aproximada de 26 millones de pesos, se creó el primer laboratorio de tecnología 4.0 en el país, con el que buscan desarrollar la integración de tecnologías máquina a máquina, el big data y el internet de las cosas.Este espacio es resultado del trabajo de expertos de la Universidad Regiomontana, la Cámara Nacional de la Industria Electrónica de Telecomunicaciones y Tecnologías de la Información (Canieti) y el Clúster de Medios Interactivos de Monterrey (MIMEC, por sus siglas en inglés).La industria 4.0 es una nueva forma de organización y funcionamiento de la industria, una revolución industrial en la cual se implementa una conexión que va desde el usuario, hasta la fabricación de un producto.La inversión para este laboratorio es aportación del gobierno estatal (Monterrey) y federal, de acuerdo a la agencia informativa del Consejo Nacional de Ciencia y Tecnología (Conacyt).El rector de la Universidad Regiomontana, Ángel Casán Marcos, destacó la unidad entre el gobierno, la academia y el sector privado para incursionar en la tecnología 4.0 en Nuevo León.Ricardo Rocha, presidente de MIMEC, consideró que la transformación a la industria 0.4 requerirá de un cambio de mentalidad.En ello coincidió Silvia Sánchez Casanova, presidenta regional de la Canieti, quien destacó que las nuevas tecnologías requieren de nuevas formas de pensar y de una nueva cultura para que funcionen.“Necesitamos un cambio de cultura. Tenemos que empoderar a los empleados, que puedan desafiarse día a día, que puedan dar el extra habilitados por la tecnología y el trabajo en equipo. Por eso, la transformación más importante no es la digital, sino la cultural”, aseveró."
