mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9957168579101563,0.12237726400345948,0.04100379943847656,0.0025812774649001057,50,50,"{'max_depth': 50, 'n_estimators': 50}",0.8291139240506329,0.838351822503962,0.8571428571428571,0.8410174880763116,0.8359872611464968,0.8403226705840522,0.009292119921923409,13
3.90962872505188,0.2518864715769002,0.07267918586730956,0.0009222750749057424,50,100,"{'max_depth': 50, 'n_estimators': 100}",0.8370253164556962,0.8462757527733756,0.8587301587301587,0.8537360890302067,0.839171974522293,0.8469878583023462,0.008297802249841668,12
19.728258037567137,1.2323345738882197,0.3327034473419189,0.0026721026845596724,50,500,"{'max_depth': 50, 'n_estimators': 500}",0.8496835443037974,0.8621236133122029,0.8650793650793651,0.863275039745628,0.85828025477707,0.8596883634436127,0.005476070917944695,4
39.505135488510135,2.5585698303765754,0.6654522895812989,0.01585032644071222,50,1000,"{'max_depth': 50, 'n_estimators': 1000}",0.8481012658227848,0.8621236133122029,0.8777777777777778,0.8600953895071543,0.8487261146496815,0.8593648322139202,0.010837263406447936,5
2.0924789905548096,0.16786147670030643,0.03981504440307617,0.0006117210930144672,100,50,"{'max_depth': 100, 'n_estimators': 50}",0.8481012658227848,0.8462757527733756,0.8444444444444444,0.834658187599364,0.8168789808917197,0.8380717263063377,0.011569735989765758,16
4.220375823974609,0.28686086854473836,0.07338008880615235,0.0007154822086377824,100,100,"{'max_depth': 100, 'n_estimators': 100}",0.8433544303797469,0.8478605388272583,0.8777777777777778,0.8473767885532592,0.8359872611464968,0.8504713593369079,0.014300160966277578,10
20.970203018188478,1.330246030674797,0.3365928173065186,0.003142086390053754,100,500,"{'max_depth': 100, 'n_estimators': 500}",0.8449367088607594,0.866877971473851,0.8714285714285714,0.8600953895071543,0.8455414012738853,0.8577760085088443,0.010854961648534797,7
42.43760600090027,2.6940383352289383,0.6686389923095704,0.010797407581430272,100,1000,"{'max_depth': 100, 'n_estimators': 1000}",0.8465189873417721,0.8573692551505546,0.8793650793650793,0.8648648648648649,0.8455414012738853,0.8587319175992313,0.012556612934788672,6
2.120836353302002,0.08757768433396547,0.04022655487060547,0.0005583592826793863,500,50,"{'max_depth': 500, 'n_estimators': 50}",0.8291139240506329,0.8652931854199684,0.8396825396825397,0.8394276629570747,0.8232484076433121,0.8393531439507056,0.014402805016733763,14
4.195200729370117,0.27445984700037823,0.07496418952941894,0.0013324360257859365,500,100,"{'max_depth': 500, 'n_estimators': 100}",0.8449367088607594,0.8526148969889065,0.873015873015873,0.848966613672496,0.8423566878980892,0.8523781560872248,0.010894172657151736,9
21.26282458305359,1.68807557130517,0.34270172119140624,0.010429901383387358,500,500,"{'max_depth': 500, 'n_estimators': 500}",0.8560126582278481,0.8526148969889065,0.8841269841269841,0.8553259141494436,0.8519108280254777,0.8599982563037321,0.012164142144233092,3
42.274958515167235,2.7342805722307997,0.6816914081573486,0.020288595911228523,500,1000,"{'max_depth': 500, 'n_estimators': 1000}",0.8481012658227848,0.8637083993660856,0.8809523809523809,0.8585055643879174,0.856687898089172,0.8615911017236682,0.0109076092874945,1
2.0986184597015383,0.10812350098225511,0.040143394470214845,0.0008895570244149882,1000,50,"{'max_depth': 1000, 'n_estimators': 50}",0.8481012658227848,0.8304278922345484,0.8396825396825397,0.8537360890302067,0.8200636942675159,0.838402296207519,0.012089083316118765,15
4.221823453903198,0.24863431001315495,0.07678637504577637,0.007045189675660581,1000,100,"{'max_depth': 1000, 'n_estimators': 100}",0.8370253164556962,0.849445324881141,0.8714285714285714,0.8537360890302067,0.8375796178343949,0.8498429839260021,0.012616930967359212,11
21.010247564315797,1.3426738793530753,0.3363181114196777,0.0026159369184854953,1000,500,"{'max_depth': 1000, 'n_estimators': 500}",0.8528481012658228,0.8526148969889065,0.8761904761904762,0.8537360890302067,0.8471337579617835,0.8565046642874392,0.010114453295840705,8
42.080016899108884,2.6589605988426395,0.6737120151519775,0.013747648187827628,1000,1000,"{'max_depth': 1000, 'n_estimators': 1000}",0.8512658227848101,0.8637083993660856,0.8777777777777778,0.8585055643879174,0.8503184713375797,0.860315207130834,0.010015548088487812,2
