mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10230865478515624,0.006968710068536473,0.001622629165649414,0.0002351553955010124,1e-06,l1,liblinear,"{'C': 1e-06, 'penalty': 'l1', 'solver': 'liblinear'}",0.19936708860759494,0.19809825673534073,0.1984126984126984,0.1987281399046105,0.19904458598726116,0.19873015392950114,0.00044824757189263306,9
0.11253900527954101,0.01137521227797233,0.0016489505767822265,0.0003452716718063032,1e-06,l2,liblinear,"{'C': 1e-06, 'penalty': 'l2', 'solver': 'liblinear'}",0.6060126582278481,0.6006339144215531,0.6079365079365079,0.6073131955484896,0.5875796178343949,0.6018951787937589,0.007607000376673841,8
0.09462676048278809,0.00313968309748494,0.0014629364013671875,5.90827985932434e-05,1e-05,l1,liblinear,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'liblinear'}",0.19936708860759494,0.19809825673534073,0.1984126984126984,0.1987281399046105,0.19904458598726116,0.19873015392950114,0.00044824757189263306,9
0.13622016906738282,0.0050833065720556495,0.0015329837799072266,0.0001510876726501814,1e-05,l2,liblinear,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'liblinear'}",0.629746835443038,0.6481774960380349,0.6507936507936508,0.6359300476947536,0.6226114649681529,0.637451898987526,0.010723462974351122,7
0.09338259696960449,0.0016531064365209623,0.0014307975769042968,3.22644385233769e-05,0.0001,l1,liblinear,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'liblinear'}",0.19936708860759494,0.19809825673534073,0.1984126984126984,0.1987281399046105,0.19904458598726116,0.19873015392950114,0.00044824757189263306,9
0.15245723724365234,0.0024578177760413997,0.0014595985412597656,3.2993892554828414e-05,0.0001,l2,liblinear,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'liblinear'}",0.7689873417721519,0.7527733755942948,0.7857142857142857,0.7758346581875993,0.7611464968152867,0.7688912316167237,0.011410536874143591,5
0.09325604438781739,0.0021328858467760704,0.001409769058227539,2.0621759992335206e-05,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.19936708860759494,0.19809825673534073,0.1984126984126984,0.1987281399046105,0.19904458598726116,0.19873015392950114,0.00044824757189263306,9
0.18737716674804689,0.004549449196255476,0.001449251174926758,1.1899547475388599e-05,0.001,l2,liblinear,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.8481012658227848,0.8288431061806656,0.8571428571428571,0.8282988871224165,0.8328025477707006,0.8390377328078851,0.011559186035959637,4
0.45795474052429197,0.027444425305850145,0.001752758026123047,0.00011811176518465366,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.6550632911392406,0.6291600633914421,0.6841269841269841,0.6120826709062003,0.6337579617834395,0.6428381942694614,0.02477765632596711,6
0.2943424701690674,0.0028146622925000215,0.001444387435913086,1.5070166620834619e-05,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.8639240506329114,0.8748019017432647,0.8793650793650793,0.8616852146263911,0.8503184713375797,0.8660189435410451,0.010246309640349095,2
0.4305245876312256,0.02012013249408821,0.0017467021942138671,3.6031792133619e-05,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8528481012658228,0.873217115689382,0.8555555555555555,0.8521462639109698,0.8232484076433121,0.8514030888130085,0.016052546156877293,3
0.40163335800170896,0.008603248373893346,0.001443958282470703,1.3087942242075845e-05,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8734177215189873,0.8748019017432647,0.8841269841269841,0.875993640699523,0.8742038216560509,0.8765088139489621,0.003900854047442108,1
